1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.014544,0.179210,0.031296,0.047497,0.064418,0.087312,0.104712,0.125239,0.138685,0.156854
0.014399,0.180232,0.032131,0.048044,0.067094,0.090277,0.105392,0.122810,0.139265,0.164054
0.014309,0.177630,0.031049,0.048328,0.070614,0.085641,0.104598,0.126103,0.142897,0.160005
0.014934,0.181546,0.030938,0.047435,0.070776,0.089895,0.106205,0.122670,0.142958,0.159220
0.014337,0.180285,0.030967,0.047641,0.070449,0.087011,0.106251,0.123412,0.142254,0.160465
0.014315,0.177711,0.031419,0.047481,0.068409,0.088538,0.108633,0.122847,0.141617,0.160282
0.014347,0.182250,0.031015,0.047889,0.067588,0.086142,0.104384,0.123806,0.140008,0.161870
0.014748,0.182717,0.030944,0.047429,0.069745,0.087848,0.106917,0.125454,0.141581,0.159615
0.014583,0.180409,0.031683,0.047803,0.071908,0.087993,0.103000,0.123373,0.139397,0.158814
0.014591,0.180037,0.031090,0.047508,0.067911,0.087296,0.106311,0.124237,0.139440,0.162208
0.015172,0.176282,0.031003,0.047546,0.068279,0.087701,0.102320,0.122514,0.140634,0.161999
0.014659,0.181094,0.031040,0.047524,0.070584,0.086338,0.106947,0.120646,0.141370,0.162229
0.014319,0.179070,0.031003,0.047314,0.068207,0.085312,0.106410,0.126009,0.141605,0.162544
0.014421,0.180765,0.031059,0.047322,0.072868,0.088056,0.103263,0.123445,0.140124,0.157776
0.014623,0.177296,0.030984,0.047545,0.072307,0.087539,0.107068,0.125351,0.140193,0.164710
0.014384,0.171075,0.030971,0.047386,0.070475,0.089483,0.108383,0.123465,0.140716,0.163010
0.014267,0.175599,0.030946,0.047753,0.071465,0.090264,0.103198,0.127105,0.141408,0.159485
0.014530,0.173693,0.030932,0.047637,0.070098,0.081190,0.107754,0.126594,0.139804,0.159995
0.014248,0.168889,0.030988,0.048167,0.068132,0.087320,0.107229,0.124042,0.140621,0.161685
0.014492,0.171160,0.030809,0.048098,0.071391,0.086847,0.106427,0.124051,0.140663,0.161406
0.014228,0.174057,0.030902,0.047692,0.070847,0.086110,0.109716,0.123923,0.141862,0.159102
0.014257,0.171828,0.030865,0.047494,0.067020,0.087672,0.107321,0.124754,0.142282,0.164780
0.014266,0.171680,0.030769,0.048419,0.069834,0.088481,0.107011,0.124215,0.141125,0.160769
0.014799,0.170912,0.030742,0.047445,0.071623,0.087731,0.105765,0.124460,0.139928,0.162677
0.014569,0.171738,0.030864,0.047393,0.071473,0.089880,0.106382,0.127237,0.136357,0.161338
0.014783,0.171699,0.030864,0.047730,0.071271,0.087078,0.105377,0.127548,0.143845,0.155983
0.014639,0.170253,0.031223,0.047479,0.069683,0.086414,0.103836,0.122019,0.144521,0.163003
0.015123,0.168087,0.031838,0.047894,0.069185,0.088580,0.104138,0.126127,0.140330,0.160564
0.014457,0.168707,0.031124,0.047904,0.068339,0.088910,0.104883,0.124008,0.141560,0.158516
0.014774,0.169474,0.031147,0.047509,0.071595,0.089898,0.106208,0.120732,0.133682,0.162847

